key,category,status,description,location,details
coverage,supplementary,PASS,26-row exact coverage inventory,<PROJECT_ROOT>\paper_iswc_camera_ready\tables\zz_final_semantic_coverage_inventory.tex,<PROJECT_ROOT>\artifacts\iswc_camera_ready\semantic_coverage\semantic_coverage_candidates.csv
utility_eurostat,provenance,PASS,EurostatKG/PairRE utility,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp14_all_scorers_corrected_optq_compact.csv
utility_dbpedia,provenance,PASS,DBpedia/ComplEx utility,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp14_all_scorers_corrected_optq_compact.csv
utility_drugbank,provenance,PASS,DrugBank/RotatE utility,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp14_all_scorers_corrected_optq_compact.csv
learned_euro_near,provenance,PASS,Learned-policy row euro_near,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp22_paper_blindstrict_all_scorers.csv
learned_euro_optq,provenance,PASS,Learned-policy row euro_optq,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp22_paper_blindstrict_all_scorers.csv
learned_euro_safe,provenance,PASS,Learned-policy row euro_safe,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp22_paper_blindstrict_all_scorers.csv
learned_dbp_near,provenance,PASS,Learned-policy row dbp_near,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp22_paper_blindstrict_all_scorers.csv
learned_dbp_optq,provenance,PASS,Learned-policy row dbp_optq,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp22_paper_blindstrict_all_scorers.csv
learned_dbp_safe,provenance,PASS,Learned-policy row dbp_safe,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp22_paper_blindstrict_all_scorers.csv
learned_drug_near,provenance,PASS,Learned-policy row drug_near,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp22_paper_blindstrict_all_scorers.csv
learned_drug_optq,provenance,PASS,Learned-policy row drug_optq,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp22_paper_blindstrict_all_scorers.csv
learned_drug_safe,provenance,PASS,Learned-policy row drug_safe,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp22_paper_blindstrict_all_scorers.csv
fixed_euro,provenance,PASS,Fixed-pressure row euro,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_tables_corrected\exp13_corrected_fixed_lambda_comparison.csv
fixed_dbpedia,provenance,PASS,Fixed-pressure row dbpedia,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_tables_corrected\exp13_corrected_fixed_lambda_comparison.csv
fixed_drugbank,provenance,PASS,Fixed-pressure row drugbank,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_tables_corrected\exp13_corrected_fixed_lambda_comparison.csv
cross_euro,provenance,PASS,Full additional-scorer row,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp14_all_scorers_corrected_optq_compact.csv
cross_drug_complex,provenance,PASS,Full additional-scorer row,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp14_all_scorers_corrected_optq_compact.csv
cross_drug_pairre,provenance,PASS,Full additional-scorer row,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp14_all_scorers_corrected_optq_compact.csv
quota_family,provenance,PASS,Quota-frontier artifact family,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_tables_corrected\exp12_corrected_quota_frontier.csv
window_family,provenance,PASS,Candidate-window artifact family,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_evidence_v1\window_sensitivity_canonical.csv
relation_family,provenance,PASS,Relation diagnostics artifact family,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp23_paper_relation_concentration_summary.csv
head_tail_family,provenance,PASS,Head-tail diagnostics artifact family,STC-derived experimental CSVs,<PROJECT_ROOT>\artifacts\stc_final_freeze_corrected\exp24_paper_head_tail_slice_q5_summary.csv
pdf_main_merge_preview,pdf,PASS,main_merge_preview.pdf exists and compile log reports a valid page count,<PROJECT_ROOT>\paper_iswc_camera_ready\main_merge_preview.pdf,bytes=434857; pages=19
pdf_supplementary,pdf,PASS,supplementary.pdf exists and compile log reports a valid page count,<PROJECT_ROOT>\paper_iswc_camera_ready\supplementary.pdf,bytes=437181; pages=33
