"Source","Destination","Reason","Bytes"
"artifacts\stc_final_tables_corrected\exp22_all_datasets_learned_reranker_selected.csv","results\frozen\exp22_all_datasets_learned_reranker_selected.csv","Publication-level frozen result","3853"
"artifacts\stc_final_tables_corrected\exp22_paper_blindstrict_all_scorers.csv","results\frozen\exp22_paper_blindstrict_all_scorers.csv","Publication-level frozen result","3594"
"artifacts\stc_final_tables_corrected\exp23_paper_relation_concentration_summary.csv","results\frozen\exp23_paper_relation_concentration_summary.csv","Publication-level frozen result","509"
"artifacts\stc_final_tables_corrected\exp24_head_tail_slice_q5_summary.csv","results\frozen\exp24_head_tail_slice_q5_summary.csv","Publication-level frozen result","3447"
"artifacts\iswc_camera_ready\semantic_coverage\semantic_coverage_candidates.csv","results\frozen\semantic_coverage_candidates.csv","Publication-level frozen result","1474"
"artifacts\iswc_camera_ready\STC_TO_ISWC_FINAL_AUDIT_V4_20260731_100445\AUDIT_REPORT_V4.md","results\provenance\AUDIT_REPORT_V4.md","Redacted final STC-to-ISWC provenance","7313"
"artifacts\iswc_camera_ready\STC_TO_ISWC_FINAL_AUDIT_V4_20260731_100445\audit_v4_matrix.csv","results\provenance\audit_v4_matrix.csv","Redacted final STC-to-ISWC provenance","8268"
"artifacts\iswc_camera_ready\STC_TO_ISWC_FINAL_AUDIT_V4_20260731_100445\ROUNDING_CORRECTION.txt","results\provenance\ROUNDING_CORRECTION.txt","Redacted final STC-to-ISWC provenance","326"
"artifacts\iswc_camera_ready\STC_TO_ISWC_FINAL_AUDIT_V4_20260731_100445\sources_unchanged_during_audit.txt","results\provenance\sources_unchanged_during_audit.txt","Redacted final STC-to-ISWC provenance","60"
"data\processed\dbpedia\preflight.json","metadata\dbpedia\preflight.json","Lightweight preprocessing metadata","5474"
"data\processed\dbpedia\relation_constraints.json","metadata\dbpedia\relation_constraints.json","Lightweight preprocessing metadata","108587"
"data\processed\dbpedia\disjoint_pairs.json","metadata\dbpedia\disjoint_pairs.json","Lightweight preprocessing metadata","2487"
"data\processed\dbpedia\relation_split_stats.json","metadata\dbpedia\relation_split_stats.json","Lightweight preprocessing metadata","81073"
"data\processed\dbpedia\file_stats.json","metadata\dbpedia\file_stats.json","Lightweight preprocessing metadata","1440"
"data\processed\drugbank\preflight.json","metadata\drugbank\preflight.json","Lightweight preprocessing metadata","2466"
"data\processed\drugbank\relation_constraints.json","metadata\drugbank\relation_constraints.json","Lightweight preprocessing metadata","615"
"data\processed\drugbank\disjoint_pairs.json","metadata\drugbank\disjoint_pairs.json","Lightweight preprocessing metadata","110"
"data\processed\drugbank\relation_split_stats.json","metadata\drugbank\relation_split_stats.json","Lightweight preprocessing metadata","799"
"data\processed\drugbank\parse_stats.json","metadata\drugbank\parse_stats.json","Lightweight preprocessing metadata","897"
"data\processed\eurostatkg\preflight.json","metadata\eurostatkg\preflight.json","Lightweight preprocessing metadata","2447"
"data\processed\eurostatkg\relation_constraints.json","metadata\eurostatkg\relation_constraints.json","Lightweight preprocessing metadata","3991"
"data\processed\eurostatkg\disjoint_pairs.json","metadata\eurostatkg\disjoint_pairs.json","Lightweight preprocessing metadata","2"
"data\processed\eurostatkg\relation_split_stats.json","metadata\eurostatkg\relation_split_stats.json","Lightweight preprocessing metadata","3350"
"data\processed\eurostatkg\file_stats.json","metadata\eurostatkg\file_stats.json","Lightweight preprocessing metadata","527"
